parameter_x,parameter_y,n,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high
rmsd_A,rg_A,21,0.9123677893896501,8.372176486170545e-09,0.6638668469752717,0.9702925105130032,0.6635165833610042,0.0010411571238143802,0.21455009973386846,0.9070139848491076
rmsd_A,hbonds,21,0.9401710843705605,2.489441222611603e-10,0.8147048411959643,0.9780020401939992,0.9399157744300787,2.58960306263028e-10,0.8121039282784116,0.988838564895778
rg_A,hbonds,21,0.9839022910599484,1.1321943187248266e-15,0.9335737922771181,0.9948502205034303,0.6743457536983744,0.0008007431315844058,0.19218958507121228,0.933926827093595
